restaurant_id,cuisines,primary_cuisine,aggregate_rating,price_range,average_cost_for_two,votes,popularity_score
17330024,"burger, bar food, southern",burger,3.8,2,50,149,0.3
17330074,"pizza, bar food",pizza,3.9,2,50,330,0.3
17330185,"japanese, steak",japanese,3.9,3,50,247,0.3
17330397,"breakfast, diner, southern",breakfast,3.7,1,50,123,0.3
17330735,"japanese, steak, sushi",japanese,3.6,3,50,109,0.3
17330676,"japanese, sushi, thai",japanese,3.7,3,50,134,0.3
17330048,"seafood, steak, vegetarian",seafood,4.2,3,50,722,0.3
17330604,steak,steak,4.3,2,50,213,0.3
17330087,chinese,chinese,4.0,2,50,335,0.3
17330137,"bbq, southern",bbq,4.0,2,50,353,0.3
17330155,"italian, pizza",italian,4.0,1,50,170,0.3
17330309,pizza,pizza,4.1,2,50,192,0.3
17330311,"american, tapas",american,4.1,3,50,302,0.3
17330615,"asian, chinese",asian,4.2,1,50,355,0.3
17330638,american,american,4.3,2,50,287,0.3
17330628,"italian, mediterranean, pizza",italian,4.0,3,50,264,0.3
17330546,"american, seafood, steak",american,4.4,3,50,235,0.3
16643459,"chinese, canadian",chinese,3.0,2,50,6,0.3
17334434,"american, bbq, southern",american,3.7,2,50,38,0.3
17334348,"desserts, sandwich",desserts,4.4,1,50,122,0.3
17334213,bbq,bbq,4.4,2,50,207,0.3
17334355,"mexican, tex-mex",mexican,3.9,1,50,66,0.3
17334212,"bbq, breakfast, southern",bbq,4.9,1,50,249,0.3
17333797,american,american,3.8,2,50,63,0.3
17334217,"japanese, sushi",japanese,3.8,3,50,145,0.3
17334273,mexican,mexican,3.8,1,50,83,0.3
17334254,italian,italian,3.7,2,50,116,0.3
17333836,"american, burger",american,4.1,1,50,122,0.3
17334197,fast food,fast food,4.1,1,50,142,0.3
17333882,mexican,mexican,4.1,1,50,114,0.3
17334211,"american, japanese, sushi",american,4.6,2,50,214,0.3
17334390,japanese,japanese,4.3,1,50,116,0.3
17334034,thai,thai,4.2,2,50,111,0.3
17334414,"desserts, sandwich",desserts,3.7,1,50,25,0.3
17334082,bbq,bbq,4.1,1,50,128,0.3
17334364,"american, diner, southern",american,4.3,1,50,244,0.3
17334398,"american, bbq, southern",american,4.2,1,50,112,0.3
17334219,"italian, pizza",italian,4.1,1,50,144,0.3
17335173,"indian, mediterranean, middle eastern",indian,4.6,2,50,166,0.3
17335195,"sushi, teriyaki",sushi,4.5,3,50,208,0.3
17335225,"burger, pizza",burger,3.9,2,50,136,0.3
17335219,"american, breakfast, greek",american,4.0,1,50,85,0.3
17334965,italian,italian,4.1,2,50,117,0.3
17335189,"american, breakfast",american,3.4,2,50,53,0.3
17335156,asian,asian,4.9,2,50,474,0.3
17334717,fast food,fast food,3.9,1,50,125,0.3
17334752,"american, french",american,3.7,4,70,201,0.3
18453427,"american, bar food, bbq",american,0.0,2,50,2,0.3
17793744,mexican,mexican,0.0,2,50,3,0.3
17334679,mexican,mexican,4.3,1,50,167,0.3
17334718,chinese,chinese,4.0,2,50,112,0.3
17334763,thai,thai,4.1,2,50,256,0.3
17335158,american,american,4.3,1,50,123,0.3
17334782,american,american,4.0,2,50,199,0.3
17334846,mexican,mexican,4.1,2,50,157,0.3
17334853,american,american,4.1,2,50,100,0.3
17335168,"japanese, sushi",japanese,4.2,3,50,141,0.3
17334958,"american, bbq, steak",american,4.2,2,50,197,0.3
17258496,"bbq, burger, desserts",bbq,4.5,2,50,1025,0.3
17259395,"american, coffee and tea",american,4.9,2,50,570,0.3
17258350,"bbq, caribbean, cajun",bbq,4.5,3,50,674,0.3
17258136,"asian, sushi, thai",asian,4.1,2,50,496,0.3
17258522,"asian, chinese",asian,4.0,2,50,411,0.3
17259958,"latin american, mexican",latin american,3.2,2,50,113,0.3
17258036,"italian, pizza",italian,4.5,3,50,1109,0.3
17259368,"chinese, pizza",chinese,4.6,2,50,728,0.3
17257684,"asian, vegetarian, vietnamese, bubble tea",asian,4.4,1,50,659,0.3
17258154,"american, pizza, bar food",american,4.2,3,50,370,0.3
17259340,french,french,4.3,3,50,532,0.3
17259243,"japanese, sushi",japanese,4.8,2,50,860,0.3
17259625,"burger, desserts, vegetarian",burger,4.2,1,50,943,0.3
17259169,"american, italian",american,4.1,4,70,476,0.3
17259166,chinese,chinese,4.1,1,50,218,0.3
17259335,"breakfast, mexican, southwestern",breakfast,4.0,1,50,214,0.3
17259248,"american, bbq",american,4.3,2,50,699,0.3
17258552,"american, breakfast",american,3.8,2,50,308,0.3
17259550,latin american,latin american,4.0,2,50,157,0.3
17259200,"seafood, sushi",seafood,4.2,3,50,530,0.3
16615894,"coffee and tea, tea, modern australian",coffee and tea,3.6,1,50,29,0.3
17342816,breakfast,breakfast,3.4,1,50,33,0.3
17342498,seafood,seafood,3.3,2,50,40,0.3
17342648,mexican,mexican,3.4,1,50,153,0.3
17342781,"american, bbq, seafood",american,3.3,2,50,65,0.3
17342799,italian,italian,3.4,2,50,58,0.3
17342772,"american, burger, sandwich",american,3.5,2,50,100,0.3
17342771,mexican,mexican,3.6,1,50,156,0.3
17342548,"desserts, pizza, ice cream",desserts,3.5,1,50,74,0.3
17342556,"american, burger",american,3.6,2,50,117,0.3
17342811,"japanese, steak, sushi",japanese,3.7,3,50,83,0.3
17342576,"american, burger",american,3.6,2,50,48,0.3
17342770,"international, pizza",international,3.8,3,50,198,0.3
17342585,mexican,mexican,3.5,1,50,126,0.3
17342494,"breakfast, pizza",breakfast,3.5,1,50,119,0.3
17342594,"american, italian",american,3.6,2,50,140,0.3
17342625,american,american,3.6,3,50,159,0.3
17342652,"italian, pizza",italian,3.6,2,50,131,0.3
17342665,"american, breakfast, burger",american,3.5,1,50,60,0.3
17342810,"american, burger, pizza, cafe",american,3.7,2,50,89,0.3
17342775,"american, seafood, steak",american,3.6,4,70,72,0.3
16612028,cafe,cafe,4.1,2,50,56,0.3
17536645,mexican,mexican,3.7,1,50,83,0.3
16613507,"tea, modern australian",tea,3.5,3,50,37,0.3
16607969,"cafe, australian",cafe,3.7,2,50,29,0.3
17374405,"american, sandwich, seafood",american,4.4,2,50,239,0.3
17375060,"bbq, burger, seafood",bbq,4.1,1,50,235,0.3
17375164,"american, burger, cajun",american,3.8,2,50,88,0.3
17374552,unknown,unknown,3.9,3,50,209,0.3
17375078,bbq,bbq,3.9,1,50,133,0.3
17375049,"chinese, japanese, thai",chinese,4.4,1,50,267,0.3
17375077,"bar food, seafood, vegetarian",bar food,4.1,2,50,171,0.3
17375141,seafood,seafood,3.8,2,50,107,0.3
17375198,"american, southern",american,4.3,3,50,164,0.3
17375180,"bbq, sandwich",bbq,4.1,1,50,182,0.3
17375072,"sandwich, seafood, cajun",sandwich,4.9,2,50,681,0.3
17375047,thai,thai,4.6,1,50,357,0.3
17375074,bbq,bbq,3.8,2,50,89,0.3
17374921,"american, european, sandwich",american,4.2,2,50,350,0.3
17374819,southern,southern,4.3,1,50,298,0.3
17375089,"american, southern",american,4.2,2,50,319,0.3
17375214,german,german,3.8,3,50,114,0.3
17374951,"german, ice cream",german,3.9,1,50,136,0.3
17374978,"burger, german, sandwich",burger,2.2,2,50,108,0.3
17375104,"italian, pizza, sandwich",italian,4.0,1,50,161,0.3
16604358,"cafe, coffee and tea, modern australian",cafe,3.8,2,50,192,0.3
16604896,"italian, fusion, cafe",italian,3.8,1,50,93,0.3
16612550,"breakfast, modern australian",breakfast,4.1,2,50,40,0.3
16606299,"burger, coffee and tea, modern australian",burger,3.7,1,50,100,0.3
16605794,"breakfast, coffee and tea",breakfast,3.8,1,50,97,0.3
17557488,"burger, desserts, sandwich",burger,3.6,1,50,41,0.3
17452342,thai,thai,4.5,2,50,799,0.3
16611498,"breakfast, coffee and tea",breakfast,3.6,2,50,18,0.3
17842104,cafe,cafe,3.5,2,50,31,0.3
17501291,"coffee and tea, cuban, latin american",coffee and tea,3.9,2,50,146,0.3
17500759,"pizza, sandwich",pizza,4.9,1,50,478,0.3
17500767,seafood,seafood,4.6,2,50,467,0.3
17500819,"chinese, thai",chinese,4.5,2,50,302,0.3
17500911,"burger, desserts, bar food",burger,4.5,2,50,289,0.3
17501439,unknown,unknown,3.8,3,50,102,0.3
17501279,"american, seafood",american,4.1,3,50,293,0.3
17500695,steak,steak,4.0,4,70,195,0.3
17501298,"desserts, greek, sandwich",desserts,4.3,1,50,244,0.3
17500847,"european, italian, mediterranean",european,4.2,4,70,379,0.3
17500872,"greek, mediterranean, vegetarian",greek,4.2,1,50,223,0.3
17501315,"american, chinese, sushi",american,3.7,2,50,243,0.3
17501201,italian,italian,3.7,2,50,104,0.3
17501247,"japanese, sushi, thai",japanese,3.7,1,50,153,0.3
17501281,"pizza, sandwich, vegetarian",pizza,3.8,2,50,323,0.3
17501143,mexican,mexican,4.1,1,50,181,0.3
17501292,"american, greek, seafood",american,4.0,2,50,316,0.3
17501308,bbq,bbq,4.2,2,50,288,0.3
17501301,"japanese, sushi, thai",japanese,4.0,1,50,232,0.3
17501268,"japanese, steak, sushi",japanese,4.1,3,50,314,0.3
16611701,asian,asian,2.9,2,50,11,0.3
17482142,"breakfast, burger",breakfast,2.4,1,50,17,0.3
16609169,"bar food, modern australian",bar food,3.8,3,50,176,0.3
17606621,unknown,unknown,3.4,1,50,11,0.3
17687832,"italian, pizza",italian,3.6,2,50,65,0.3
16613059,"coffee and tea, modern australian",coffee and tea,2.4,3,50,193,0.3
17534788,"american, international, southwestern",american,3.6,3,50,30,0.3
17061237,"spanish, tapas",spanish,4.4,3,50,981,0.3
17057397,hawaiian,hawaiian,4.5,3,50,1151,0.3
17058534,"american, sandwich, salad",american,4.7,3,50,1341,0.3
17060320,irish,irish,4.3,4,50,782,0.3
17057925,"new american, tapas",new american,4.6,3,50,1293,0.3
17060869,"brazilian, steak",brazilian,4.6,4,100,2324,0.3
17057591,caribbean,caribbean,4.3,3,50,910,0.3
17059541,italian,italian,4.4,4,50,886,0.3
17064266,"asian, thai",asian,4.6,3,50,1293,0.3
17064405,"asian, latin american, vegetarian",asian,4.4,1,50,570,0.3
17060516,american,american,4.4,4,60,1685,0.3
17059012,german,german,4.8,3,50,1699,0.3
17061296,"american, sandwich, tea",american,4.9,2,50,1457,0.3
17061205,"american, bbq, sandwich",american,4.9,3,50,1252,0.3
17064031,cajun,cajun,4.7,2,50,1412,0.3
17066603,"southern, cajun, soul food",southern,3.6,2,50,432,0.3
17057797,"mediterranean, turkish",mediterranean,4.2,3,50,568,0.3
17061253,"american, breakfast, vegetarian",american,4.4,2,50,797,0.3
17059060,unknown,unknown,4.4,3,50,1158,0.3
17061231,pub food,pub food,4.4,3,50,1998,0.3
16613649,"mediterranean, seafood",mediterranean,4.4,3,50,381,0.3
18255631,modern australian,modern australian,2.6,4,120,16,0.3
16608483,"cafe, coffee and tea, sandwich",cafe,3.4,2,50,19,0.3
17580453,"mexican, southwestern, tex-mex",mexican,4.2,2,50,635,0.3
17580142,"burger, bar food, steak",burger,4.9,3,50,2238,0.3
17580160,"italian, pizza, sandwich",italian,4.6,1,50,792,0.3
17580349,"asian, vietnamese",asian,4.5,1,50,828,0.3
17580412,"italian, pizza, seafood",italian,3.7,3,50,292,0.3
17580590,tapas,tapas,3.9,2,50,502,0.3
17580704,"burger, bar food",burger,3.7,2,50,559,0.3
17579928,"latin american, mexican, southwestern",latin american,4.2,2,50,1268,0.3
17579992,"seafood, sushi",seafood,4.1,3,50,669,0.3
17580030,"european, international, tapas",european,4.4,3,50,900,0.3
17580074,"japanese, sushi",japanese,4.3,2,50,765,0.3
17580020,"american, seafood, sushi",american,4.0,3,50,1270,0.3
17580350,"italian, mediterranean, pizza",italian,4.1,2,50,502,0.3
17580408,seafood,seafood,3.9,3,50,724,0.3
17579653,"caribbean, seafood, steak",caribbean,3.5,3,50,479,0.3
17580476,"breakfast, burger",breakfast,4.2,2,50,591,0.3
17580422,"burger, sandwich, seafood",burger,4.4,3,50,1408,0.3
17580539,"caribbean, seafood",caribbean,4.3,3,50,905,0.3
17580511,greek,greek,4.7,1,50,816,0.3
17580021,"sandwich, seafood, cajun",sandwich,4.4,3,50,747,0.3
16604370,"breakfast, coffee and tea, modern australian",breakfast,3.7,2,50,351,0.3
17582467,"burger, fast food",burger,3.7,1,50,104,0.3
17582668,"american, bbq, steak",american,3.5,3,50,83,0.3
17582498,"asian, thai",asian,3.6,1,50,91,0.3
17582499,"pizza, bar food",pizza,3.6,1,50,59,0.3
17582522,"italian, pizza, sandwich",italian,3.7,3,50,222,0.3
17582524,"american, breakfast",american,3.6,3,50,121,0.3
17582527,chinese,chinese,3.5,1,50,93,0.3
17582551,"coffee and tea, sandwich",coffee and tea,3.8,1,50,136,0.3
17582558,"pizza, sandwich",pizza,3.8,1,50,160,0.3
17582560,"american, greek",american,3.7,2,50,152,0.3
17582677,"burger, pizza, sandwich",burger,3.5,1,50,57,0.3
17582670,"american, pizza",american,3.7,2,50,191,0.3
17582625,"american, seafood, steak",american,3.6,3,50,85,0.3
17582627,mexican,mexican,3.6,1,50,108,0.3
17582700,"asian, sushi, vegetarian",asian,3.6,2,50,132,0.3
17582664,"indian, international, vegetarian",indian,3.8,2,50,141,0.3
17582682,"desserts, thai",desserts,3.7,2,50,162,0.3
17582669,new american,new american,3.6,3,50,144,0.3
18491935,"indian, persian",indian,0.0,2,50,1,0.3
17582546,mexican,mexican,4.1,1,50,365,0.3
17629582,"american, bbq, burger",american,3.3,2,50,9,0.3
17211719,seafood,seafood,4.0,4,70,542,0.3
17144717,seafood,seafood,4.5,2,50,691,0.3
17143970,"american, pizza, bar food",american,4.7,3,50,764,0.3
17142698,unknown,unknown,4.7,1,50,707,0.3
17144991,seafood,seafood,4.5,3,50,487,0.3
17142519,"american, hawaiian",american,4.5,1,50,695,0.3
17145408,burger,burger,4.2,3,50,485,0.3
17143336,"japanese, seafood, sushi",japanese,4.2,3,50,807,0.3
17145077,asian,asian,4.6,1,50,723,0.3
17141447,"asian, breakfast, hawaiian",asian,4.2,1,50,874,0.3
17142096,"breakfast, burger",breakfast,4.4,2,50,552,0.3
17142297,"hawaiian, seafood, steak",hawaiian,4.3,3,50,1056,0.3
17142535,"hawaiian, seafood, steak",hawaiian,4.3,3,50,707,0.3
17142792,"hawaiian, seafood",hawaiian,4.9,4,70,1343,0.3
17145495,japanese,japanese,4.9,1,50,602,0.3
17143950,"american, asian, burger",american,4.6,3,50,1078,0.3
17142747,american,american,3.9,2,50,232,0.3
17141990,"hawaiian, seafood, steak",hawaiian,4.4,4,70,1492,0.3
17144732,breakfast,breakfast,4.0,1,50,535,0.3
17143282,"asian, european, seafood",asian,4.2,4,70,531,0.3
17143705,"american, breakfast, hawaiian",american,4.2,2,50,694,0.3
17615915,southern,southern,3.3,3,50,1201,0.3
17616487,burger,burger,4.7,3,50,906,0.3
17615924,"desserts, sandwich, ice cream",desserts,4.6,1,50,880,0.3
17615979,"american, southern",american,4.5,3,50,1014,0.3
17616266,"international, mediterranean, sandwich",international,4.5,2,50,796,0.3
17615976,"american, bar food, sandwich",american,3.7,2,50,747,0.3
17616025,"american, seafood, steak",american,3.8,3,50,566,0.3
17615597,"american, breakfast",american,4.1,2,50,683,0.3
17615740,"american, bar food",american,4.4,2,50,690,0.3
17616203,"breakfast, vegetarian",breakfast,4.2,1,50,680,0.3
17616590,"american, breakfast",american,4.1,1,50,287,0.3
17615855,"breakfast, cajun",breakfast,4.1,3,50,802,0.3
17616348,"breakfast, diner, sandwich",breakfast,4.3,2,50,710,0.3
17616368,"coffee and tea, desserts",coffee and tea,4.3,1,50,456,0.3
17616400,"pizza, seafood, steak",pizza,4.0,4,70,687,0.3
17616076,"cafe, sandwich, southern",cafe,4.3,2,50,719,0.3
17616205,"american, seafood, southern",american,4.4,4,70,1803,0.3
17616222,american,american,4.1,4,70,558,0.3
17616295,seafood,seafood,3.8,3,50,883,0.3
17616465,unknown,unknown,3.9,1,50,309,0.3
18483372,"chinese, continental, singaporean",chinese,3.4,4,300,34,0.3
18484349,"american, steak",american,4.0,4,270,33,0.3
18496057,"french, mediterranean, european",french,3.8,4,500,33,0.3
18483389,american,american,3.1,4,80,34,0.3
18483222,french,french,3.8,4,430,35,0.3
18483085,french,french,3.9,4,315,33,0.3
18484423,bakery,bakery,4.2,2,50,29,0.3
18483714,italian,italian,4.1,4,100,35,0.3
18485469,"italian, french, bakery, cafe",italian,3.2,3,50,29,0.3
18479690,"american, japanese, singaporean",american,3.2,4,80,30,0.3
